am_constituency,st_constituency_number,st_constituency,ward_village_number,ward_village,am_constituency_number,st_constituency_pcode
ကချင်ပြည်နယ်,1,တနိုင်း,11,ရှိန့်ဘွေကောင့်ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,12,အာလျှင်ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,13,ဆင်(မ်)ဆကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,1,အမှတ်(1)ရပ်ကွက်(ရှင်ဗွေယန်မြို့),4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,2,အမှတ်(2)ရပ်ကွက်(ရှင်ဗွေယန်မြို့),4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,3,အမှတ်(3)ရပ်ကွက်(ရှင်ဗွေယန်မြို့),4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,4,အမှတ်(4)ရပ်ကွက်(ရှင်ဗွေယန်မြို့),4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,5,ဆင်ဆာ့ကောင်းရပ်ကွက်(တနိုင်းမြို့),4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,6,ပုန်ခုန်ကောင်းရပ်ကွက်(တနိုင်းမြို့),4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,7,မိုင်းခွန်း(မုံ့ခေါင်မ်)ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,8,မကောကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,9,ရှင်လုံးဂါးကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,10,ခလုန်းကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,11,တရုံကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,12,ဆရာကထောင်ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,13,ဇီးကောင့်ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,2,တနိုင်း,14,အင်ဂမ်ဂါးကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,1,နောင်မွန်း,1,အမှတ်(1)ရပ်ကွက်(နောင်မွန်းမြို့),1,MMR001017
ကချင်ပြည်နယ်,1,နောင်မွန်း,2,အမှတ်(2)ရပ်ကွက်(နောင်မွန်းမြို့),1,MMR001017
ကချင်ပြည်နယ်,1,နောင်မွန်း,3,အမှတ်(3)ရပ်ကွက်(နောင်မွန်းမြို့),1,MMR001017
ကချင်ပြည်နယ်,1,နောင်မွန်း,4,အမှတ်(4)ရပ်ကွက်(နောင်မွန်းမြို့),1,MMR001017
ကချင်ပြည်နယ်,1,နောင်မွန်း,5,အမှတ်(5)ရပ်ကွက်(နောင်မွန်းမြို့),1,MMR001017
ကချင်ပြည်နယ်,1,နောင်မွန်း,6,နောင်မွန်ကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,1,နောင်မွန်း,7,ကဆန်ခူးကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,1,နောင်မွန်း,8,ထုံလာဒမ်းကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,1,မြို့မရပ်ကွက်(ပန်နန်းဒင်မြို့),1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,2,ရပ်ဘော့ကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,3,ဂါတ်ထုကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,4,လန်ဆာထုကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,5,ဒဘူဒမ်းကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,6,အဝိဝမ်ကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,7,အလီအောင်ကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,8,မခွမ်ကန်ကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,9,ငါဝါကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,10,ဒဇွန်ဒမ်းကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,2,နောင်မွန်း,11,တဆူထုကျေးရွာအုပ်စု,1,MMR001017
ကချင်ပြည်နယ်,1,ပူတာအို,1,မြို့မရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,2,ကောင်ကထောင်ရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,3,ဟိုခိုရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,4,ပန်းလှိုင်ရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,5,တုံလီထုရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,6,တပ်သစ်ရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,7,လုံးစွတ်ရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,8,မန်စေကျေးရွာအုပ်စု,1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,9,မာလူလဲ့ကျေးရွာအုပ်စု,1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,10,မန်စေခွန်ကျေးရွာအုပ်စု,1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,11,ပန်းမတီးကျေးရွာအုပ်စု,1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,12,ပူတောင်းကျေးရွာအုပ်စု,1,MMR001014
ကချင်ပြည်နယ်,1,ပူတာအို,13,နန့်တုံခူးကျေးရွာအုပ်စု,1,MMR001014
ကချင်ပြည်နယ်,2,ပူတာအို,1,လေယာဉ်ကွင်းရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,2,ပူတာအို,2,ဒုတ္တန်ရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,2,ပူတာအို,3,ပါအင်ရပ်ကွက်(ပူတာအိုမြို့),1,MMR001014
ကချင်ပြည်နယ်,2,ပူတာအို,4,ဆာရ်ခွမ်ဒမ်းကျေးရွာအုပ်စု,1,MMR001014
ကချင်ပြည်နယ်,2,ပူတာအို,5,မကပ်မုံကျေးရွာအုပ်စု,1,MMR001014
ကချင်ပြည်နယ်,2,ပူတာအို,6,လန်းတောင်ကျေးရွာအုပ်စု,1,MMR001014
