state_or_region,constituency_number,constituency_name,ward_village_number,ward_village
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,12,မိုးနိုင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,13,ဝင်းဖရကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,14,နောင်ဘိုးကြီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,15,ရွာကိုင်းကောင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,16,ကော့နွဲ့ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,17,နောင်မြလွဲကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,18,ကော့ဖမွတ်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,19,ကော့မရိုင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,20,ဒေါ်လန်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,21,ပတကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,22,ရေပူကြီး ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,23,ကြက်တူရွေးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,24,ပေါလောက် ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,25,ပေါင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,26,ထန်းတပင်ကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,27,နောင်ခွီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,28,ဘီစကတ် ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,29,ထီဖိုးကိန်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,30,တာကရားကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,31,ဝင်းစော ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,32,လော်ကော်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,33,မဲပရ ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,34,မိကြောင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,35,တာလယ် ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,36,သမိုကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,37,နွဲ့ပညာကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,38,ကဒီကံကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,39,ကော့မြတ်ကြီးကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,40,တာပေါင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,41,မမော့လဲ(မအဲ)(အလယ်) ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,42,ကမော့လဲ(ကျောင်း)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,43,မဲလောခီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,44,မဲသမူကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,45,စောလော ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,46,ရင်းဘိုင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,47,ရေတံခွန် ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,48,မဲလရောကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,49,ပထလာပ ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,50,ပိုးပလေကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,51,ကွီးလေးကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,52,တခွက်ဖိုးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,1,အမှတ်(1)ရပ်ကွက်(သံတောင်ကြီးမြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,2,အမှတ်(2)ရပ်ကွက် (သံတောင်ကြီးမြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,3,အမှတ်(3)ရပ်ကွက်(သံတောင်ကြီးမြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,4,အမှတ်(4)ရပ်ကွက် (သံတောင်ကြီးမြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,5,အမှတ်(5)ရပ်ကွက် (သံတောင်ကြီးမြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,6,အမှတ်(1)ရပ်ကွက်(သံတောင်မြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,7,အမှတ် (2)ရပ်ကွက်(သံတောင်မြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,8,အမှတ်(3)ရပ်ကွက် (သံတောင်မြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,9,အမှတ်(4) ရပ်ကွက်(သံတောင်မြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,10,အမှတ်(1)ရပ်ကွက် (ဘောဂလိမြို့)
ကရင်ပြည်နယ်,1,သံတောင်ကြီးမြို့နယ်,11,အမှတ်(2)ရပ်ကွက်(ဘောဂလိမြို့)
